epoch,train_loss,train_acc,val_loss,val_acc
1,6.303262407129461,0.23863636363636365,1.5959962606430054,0.23529411764705882
2,7.816736481406472,0.22727272727272727,1.6734890937805176,0.23529411764705882
3,4.820315751162442,0.2727272727272727,1.6275503635406494,0.23529411764705882
4,3.5719222805716773,0.29545454545454547,1.6507211923599243,0.23529411764705882
5,2.202804457057606,0.3068181818181818,1.807816505432129,0.23529411764705882
6,2.458441799337214,0.3181818181818182,1.6277854442596436,0.23529411764705882
7,1.7498169378800825,0.32954545454545453,1.614790916442871,0.23529411764705882
8,1.2815393101085315,0.45454545454545453,1.5963326692581177,0.23529411764705882
9,1.3807153376665982,0.3409090909090909,1.6205925941467285,0.23529411764705882
10,1.2629864324222912,0.3977272727272727,1.5527818202972412,0.23529411764705882
11,1.4134443348104304,0.38636363636363635,1.6244930028915405,0.23529411764705882
12,1.2610013593326916,0.4318181818181818,1.546430230140686,0.23529411764705882
13,1.2574899304996838,0.42045454545454547,1.4763046503067017,0.23529411764705882
14,1.331369692629034,0.3409090909090909,1.413499355316162,0.29411764705882354
15,1.232575459913774,0.4318181818181818,1.3904024362564087,0.29411764705882354
16,1.238973931832747,0.5227272727272727,1.382108211517334,0.35294117647058826
17,1.1886072483929722,0.5,1.4231535196304321,0.23529411764705882
18,1.1074415878816084,0.5568181818181818,1.4240880012512207,0.23529411764705882
19,1.0931001901626587,0.5113636363636364,1.4259451627731323,0.29411764705882354
20,1.0841469114476985,0.5568181818181818,1.4328548908233643,0.23529411764705882
21,1.0673100027171047,0.6363636363636364,1.4171327352523804,0.23529411764705882
22,1.078313567421653,0.5795454545454546,1.4398313760757446,0.29411764705882354
23,1.0409894314679233,0.48863636363636365,1.6351879835128784,0.23529411764705882
24,1.0376554294065996,0.5,1.5189491510391235,0.35294117647058826
25,1.0136086724021218,0.5909090909090909,1.4738380908966064,0.23529411764705882
26,1.0119713219729336,0.5568181818181818,1.4453226327896118,0.23529411764705882
27,0.896509511904283,0.7386363636363636,1.6932010650634766,0.23529411764705882
28,0.9421558596871116,0.5795454545454546,1.5320818424224854,0.35294117647058826
29,0.8586572354490106,0.6818181818181818,1.5465441942214966,0.29411764705882354
30,0.7635947411710565,0.7045454545454546,1.7240155935287476,0.23529411764705882
